imdb_id,title,director,year,genre
tt0011801,Tötet nicht mehr,Lupu Pick,2019,Action Crime
tt0069049,The Other Side of the Wind,Orson Welles,2018,Drama
tt0100275,The Wandering Soap Opera,Raúl Ruiz,2017,Comedy Drama Fantasy
tt0111414,A Thin Life,Frank Howson,2018,Comedy
tt0112502,Bigfoot,Mc Jones,2017,Horror Thriller
tt0137204,Joe Finds Grace,Anthony Harrison,2017,Adventure Animation Comedy
tt0172182,Blood Type,Kevin Williams,2018,Comedy Drama Mystery
tt0192528,Heaven & Hell,Stuart Paul,2018,Drama
tt0252316,Chhatrapati Shivaji,Bhalji Pendharkar,2017,Drama History
tt0276132,The Fetishist,Jim Trainor,2019,Animation
tt0276568,To Chase a Million,Pat Jackson,2018,Action Drama
tt0328810,My Land,Mrinal Sen,2018,Drama Family
tt0331314,Bunyan and Babe,Louis Ross,2017,Adventure Animation Comedy
tt0339736,The Evil Within,Andrew Getty,2017,Horror
tt0360556,Fahrenheit 451,Ramin Bahrani,2018,Drama Sci-Fi Thriller
tt0365545,Nappily Ever After,Haifaa Al-Mansour,2018,Comedy Drama Romance
tt0385887,Motherless Brooklyn,Edward Norton,2019,Crime Drama Mystery
tt0427543,A Million Little Pieces,Sam Taylor-Johnson,2018,Drama
tt0437086,Alita: Battle Angel,Robert Rodriguez,2019,Action Adventure Sci-Fi
tt0441881,Danger Close,Kriv Stenders,2019,Action Drama War
tt0448115,Shazam!,David F. Sandberg,2019,Action Adventure Comedy
tt0451201,Clawed,Steve Taylor,2017,Horror
tt0451279,Wonder Woman,Patty Jenkins,2017,Action Adventure Fantasy
tt0460890,The Only Living Boy in New York,Marc Webb,2017,Drama
tt0491175,Suburbicon,George Clooney,2017,Comedy Crime Drama
tt0491203,Tulip Fever,Justin Chadwick,2017,Drama History Romance
tt0493405,CHIPS,Dax Shepard,2017,Action Comedy Crime
tt0498381,Rings,F. Javier Gutiérrez,2017,Drama Horror Mystery
tt0783640,The Last Full Measure,Todd Robinson,2019,Drama War
tt0800325,The Dirt,Jeff Tremaine,2019,Biography Comedy Drama
tt0810001,Glastonbury Fayre,Peter Neal,2018,Documentary Music
tt0810836,Dirt Music,Gregor Jordan,2019,Crime Drama Romance
tt0825334,Caravaggio and My Mother the Pope,Gladys Florence,2017,Comedy Drama
tt0835802,Krystal,William H. Macy,2017,Comedy Drama
tt0837563,Pet Sematary,Kevin Kölsch,2019,Horror Mystery Thriller
tt0850247,Amsteroid,John Higbie,2018,Sci-Fi
tt0858419,Bolden,Dan Pritzker,2019,Drama
tt0859635,Super Troopers 2,Jay Chandrasekhar,2018,Comedy Crime Mystery
tt0862930,Dukun,Dain Said,2018,Crime Horror Thriller
tt0874268,The Dot Man,Bruno Coppola,2017,Drama Thriller
tt0891581,RxCannabis: A Freedom Tale,Harvey Stein,2018,Documentary
tt0936491,Snapshot Wedding,Raza Mallal,2017,Romance
tt0937225,Joe Dick,Greg Lindsay,2017,Comedy
tt0972544,Back Roads,Alex Pettyfer,2018,Crime Drama Thriller
